,seq_num,time,huber_eta,huber_eta_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_eta,ts_huber_eta_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
11,12,1782777141.2901375,0.0002212618000000388,-0.43567793389743587,76.0,1275202.0,96373.0,1782777141.202726,1782777140.36818,1782777139.356491,1782777139.357421,1782777139.356416
12,13,1782777142.260368,0.0002200886000000013,-0.38439588261538454,60.0,1277860.0,96326.0,1782777142.201556,1782777141.362917,1782777141.278645,1782777141.279526,1782777141.278487
13,14,1782777143.1803389,0.00021883160000002455,-0.33311383133333344,60.0,1277860.0,96326.0,1782777143.153824,1782777142.317428,1782777141.278645,1782777141.279526,1782777141.278487
14,15,1782777144.1480525,0.00021983720000001705,-0.2818317800512821,82.0,1275056.0,96705.0,1782777144.101851,1782777143.24973,1782777143.230272,1782777143.231016,1782777143.230193
15,16,1782777145.098907,0.0002207590000000148,-0.2305497287692308,82.0,1275056.0,96705.0,1782777145.056751,1782777144.218832,1782777143.230272,1782777143.231016,1782777143.230193
16,17,1782777146.0889626,0.00021950200000003806,-0.17926767748717948,90.0,1275111.0,95919.0,1782777146.027294,1782777145.192761,1782777145.124676,1782777145.126445,1782777145.124711
17,18,1782777147.1699395,0.00021933440000004856,-0.12798562620512816,67.0,1277145.0,95208.0,1782777147.043016,1782777146.302602,1782777147.055203,1782777147.055932,1782777147.055094
18,19,1782777148.0837734,0.0002200886000000013,-0.07670357492307706,67.0,1277145.0,95208.0,1782777148.075182,1782777147.240159,1782777147.055203,1782777147.055932,1782777147.055094
19,20,1782777149.1199586,0.0002177422000000373,-0.02542152364102568,81.0,1275502.0,95947.0,1782777149.079799,1782777148.246081,1782777148.160724,1782777148.161898,1782777148.160667
20,21,1782777150.0699565,0.0002209266000000043,0.025860527641025532,81.0,1275502.0,95947.0,1782777150.032288,1782777149.198602,1782777148.160724,1782777148.161898,1782777148.160667
21,22,1782777150.9895966,0.0002180774000000163,0.07714257892307685,90.0,1281387.0,96930.0,1782777150.957683,1782777150.123455,1782777150.109184,1782777150.109709,1782777150.109091
22,23,1782777151.942189,0.00021832880000000054,0.12842463020512818,90.0,1281387.0,96930.0,1782777151.882701,1782777151.048258,1782777150.109184,1782777150.109709,1782777150.109091
23,24,1782777152.8592513,0.00022268640000000506,0.1797066814871795,75.0,1275963.0,96092.0,1782777152.832165,1782777151.994836,1782777151.984689,1782777151.985698,1782777151.984612
24,25,1782777153.807513,0.0002175746000000478,0.23098873276923082,75.0,1275963.0,96092.0,1782777153.771614,1782777152.930933,1782777151.984689,1782777151.985698,1782777151.984612
25,26,1782777154.7108083,0.0002177422000000373,0.2822707840512819,58.0,1283048.0,96344.0,1782777154.706589,1782777153.872352,1782777153.860584,1782777153.861031,1782777153.860529
26,27,1782777155.689552,0.00021480920000005455,0.33355283533333324,58.0,1283048.0,96344.0,1782777155.633113,1782777154.781597,1782777153.860584,1782777153.861031,1782777153.860529
27,28,1782777156.667165,0.00022377580000004782,0.38483488661538456,64.0,1277394.0,95832.0,1782777156.610557,1782777155.776912,1782777155.732084,1782777155.733039,1782777155.731931
