,seq_num,time,huber_eta,huber_eta_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_eta,ts_huber_eta_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
14,32,1782777213.5360346,0.5898201286,0.5899595721435897,224.0,1621060.0,415277.0,1782777213.522698,1782777212.557728,1782777213.460308,1782777213.462646,1782777213.460261
15,33,1782777214.622986,0.641287826,0.6412416234256411,259.0,1662345.0,455897.0,1782777214.54428,1782777213.591366,1782777214.543607,1782777214.545987,1782777214.543251
16,34,1782777215.6383262,0.6925708282,0.6925236747076924,318.0,1691530.0,484496.0,1782777215.634432,1782777214.681382,1782777215.594964,1782777215.595995,1782777215.594926
17,35,1782777216.6699865,0.7438322937999999,0.7438057259897437,283.0,1711297.0,508795.0,1782777216.648608,1782777215.695624,1782777216.656282,1782777216.658589,1782777216.656224
18,36,1782777217.7111957,0.7951251006,0.7950877772717948,322.0,1723379.0,522955.0,1782777217.687081,1782777216.731214,1782777217.683212,1782777217.683862,1782777217.683157
19,37,1782777218.8397384,0.8464360082,0.8463698285538461,332.0,1733672.0,531358.0,1782777218.748793,1782777217.786222,1782777218.71707,1782777218.719475,1782777218.716758
20,38,1782777219.8532867,0.8976540654,0.8976518798358974,300.0,1743281.0,537037.0,1782777219.845078,1782777218.893921,1782777219.788537,1782777219.789778,1782777219.788459
21,39,1782777220.8667548,0.9490046104000001,0.9489339311179488,300.0,1743281.0,537037.0,1782777220.862719,1782777219.904633,1782777219.788537,1782777219.789778,1782777219.788459
22,40,1782777221.8806987,1.0002240922,1.0002159824,315.0,1747655.0,540533.0,1782777221.876198,1782777220.91893,1782777220.870778,1782777220.872811,1782777220.87073
23,3,1782777183.3128817,-0.8974913499999999,-0.8972199150358975,14.0,1217591.0,14784.0,1782777183.309225,1782777182.349932,1782777183.221602,1782777183.222174,1782777183.221554
24,5,1782777185.3849342,-0.7949948996,-0.7946558124717948,33.0,1217536.0,15814.0,1782777185.379159,1782777184.417183,1782777185.365563,1782777185.367144,1782777185.36559
25,7,1782777187.5595968,-0.6923900958,-0.6920917099076922,16.0,1225011.0,17521.0,1782777187.554735,1782777186.595642,1782777187.439993,1782777187.44265,1782777187.44009
26,9,1782777189.6545265,-0.5897215201999999,-0.5895276073435898,16.0,1220158.0,19785.0,1782777189.634459,1782777188.672682,1782777189.624032,1782777189.624942,1782777189.623967
27,11,1782777191.7366374,-0.4871183086,-0.4869635047794871,30.0,1226393.0,23032.0,1782777191.727644,1782777190.757637,1782777191.699095,1782777191.701248,1782777191.69877
