,seq_num,time,huber_mu,huber_mu_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_mu,ts_huber_mu_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
22,40,1782765927.5382037,7.209196909143998,7.209217463687992,0.0,118612.0,0.0,1782765927.489559,1782765926.820808,1782765926.999611,1782765927.407694,1782765926.999544
23,1,1782765896.6654353,5.709025234255989,5.709217463687992,0.0,117204.0,0.0,1782765896.482354,1782765894.639504,1782765893.570175,1782765896.502114,1782765893.570004
24,4,1782765899.3789062,5.824628063779983,5.824602079072605,0.0,119532.0,0.0,1782765899.322443,1782765898.668343,1782765898.922074,1782765899.330276,1782765898.921843
25,11,1782765904.9625838,6.093795012652009,6.093832848303379,0.0,117404.0,0.0,1782765904.928741,1782765904.244891,1782765904.480889,1782765904.783132,1782765904.480849
26,13,1782765906.5135746,6.170734819683986,6.170755925226445,0.0,118586.0,23.0,1782765906.463339,1782765905.78868,1782765905.993888,1782765906.300883,1782765906.497651
27,18,1782765910.376575,6.362963637903988,6.363063617534152,0.0,118298.0,0.0,1782765910.319533,1782765909.668047,1782765909.829454,1782765910.340321,1782765909.82937
28,23,1782765914.3520517,6.555311143827993,6.555371309841831,0.0,119294.0,0.0,1782765914.321104,1782765913.631283,1782765913.770801,1782765914.275861,1782765913.770745
29,25,1782765915.9354918,6.632360586111986,6.632294386764926,0.0,117793.0,0.0,1782765915.879604,1782765915.217016,1782765915.385699,1782765915.790926,1782765915.385394
30,27,1782765917.469292,6.709247084259999,6.709217463687992,0.0,116741.0,0.0,1782765917.421305,1782765916.757392,1782765917.002016,1782765917.409017,1782765917.001539
31,32,1782765921.3323295,6.901529211363993,6.901525155995671,0.0,117890.0,0.0,1782765921.273111,1782765920.619371,1782765920.737762,1782765921.245639,1782765920.737644
32,34,1782765922.8863282,6.9784442079719895,6.978448232918765,0.0,117115.0,944.0,1782765922.802716,1782765922.14992,1782765922.352862,1782765922.659673,1782765922.352441
33,2,1782765897.837088,5.747497149428,5.747679002149539,0.0,118911.0,0.0,1782765897.796876,1782765896.779966,1782765896.906867,1782765897.715529,1782765896.906824
34,6,1782765901.0071929,5.901508191684002,5.901525155995671,0.0,120033.0,0.0,1782765900.95408,1782765900.284205,1782765900.438772,1782765900.946754,1782765900.438172
35,8,1782765902.62034,5.978414135839984,5.978448232918765,0.0,118890.0,0.0,1782765902.567834,1782765901.917965,1782765902.155962,1782765902.462128,1782765902.155927
36,20,1782765911.9981458,6.439935966707992,6.439986694457218,0.0,117471.0,0.0,1782765911.969269,1782765911.284972,1782765911.445029,1782765911.851693,1782765911.444556
37,22,1782765913.573882,6.516889520055997,6.516909771380313,0.0,117746.0,0.0,1782765913.471108,1782765912.821523,1782765912.962896,1782765913.469781,1782765912.962841
38,29,1782765919.0121343,6.786163086696007,6.786140540611058,0.0,117646.0,0.0,1782765918.972095,1782765918.309242,1782765918.513494,1782765918.924605,1782765918.513065
39,31,1782765920.5291264,6.863134409672,6.863063617534152,0.0,117158.0,0.0,1782765920.488512,1782765919.821948,1782765920.029675,1782765920.337138,1782765920.029467
