,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
11,17,1782777056.2038944,51.04088,51.040905641025645,32.0,172338.0,54559.0,1782777056.169017,1782777055.928388,1782777055.970532,1782777055.972974,1782777055.970471
12,24,1782777058.8406892,51.058870000000006,51.05885435897436,2.0,120543.0,1578.0,1782777058.80406,1782777058.454806,1782777058.490527,1782777058.492597,1782777058.490033
13,27,1782777059.834351,51.066520000000004,51.06654666666667,2.0,118810.0,878.0,1782777059.796011,1782777059.562263,1782777059.613257,1782777059.615581,1782777059.612766
14,31,1782777061.1704907,51.07682500000001,51.07680307692308,0.0,118658.0,600.0,1782777061.115658,1782777060.644974,1782777060.496363,1782777060.701945,1782777060.70046
15,34,1782777061.9603312,51.08449,51.08449538461539,2.0,118139.0,441.0,1782777061.951258,1782777061.82864,1782777061.615233,1782777061.826942,1782777061.824822
16,38,1782777063.1387734,51.094705000000005,51.0947517948718,1.0,118715.0,348.0,1782777063.095647,1782777062.86173,1782777062.91742,1782777062.919502,1782777062.917317
17,2,1782777050.8457367,51.002445,51.002444102564105,31.0,174777.0,56161.0,1782777050.808836,1782777050.574617,1782777050.477823,1782777050.479727,1782777050.477599
18,8,1782777052.97452,51.01779500000001,51.017828717948724,20.0,172999.0,55923.0,1782777052.93123,1782777052.69172,1782777052.737977,1782777052.740193,1782777052.737813
19,13,1782777054.9064863,51.03061,51.030649230769235,24.0,173088.0,55184.0,1782777054.8688,1782777054.635567,1782777054.689215,1782777054.69075,1782777054.689083
20,20,1782777057.325285,51.04863,51.04859794871795,19.0,150382.0,32769.0,1782777057.279927,1782777057.044892,1782777057.100023,1782777057.100924,1782777057.100053
21,29,1782777060.381782,51.07166,51.07167487179487,1.0,118976.0,693.0,1782777060.347832,1782777060.231479,1782777060.282583,1782777060.283706,1782777060.282459
22,33,1782777061.7119403,51.081950000000006,51.08193128205128,2.0,118127.0,512.0,1782777061.67822,1782777061.561421,1782777061.615233,1782777061.617456,1782777061.61504
23,36,1782777062.599186,51.08965500000001,51.08962358974359,2.0,118681.0,417.0,1782777062.549537,1782777062.315322,1782777062.380644,1782777062.381946,1782777062.380575
24,6,1782777052.1734188,51.01271500000001,51.012700512820516,34.0,175481.0,56848.0,1782777052.14306,1782777052.026339,1782777052.07959,1782777052.080649,1782777052.079505
25,11,1782777054.3767455,51.025490000000005,51.02552102564103,26.0,173319.0,56420.0,1782777054.33995,1782777054.103946,1782777054.151547,1782777054.153064,1782777054.150204
26,18,1782777056.655034,51.04349500000001,51.043469743589746,39.0,172831.0,54176.0,1782777056.613176,1782777056.26179,1782777056.311564,1782777056.313745,1782777056.311474
27,21,1782777057.7786155,51.051175,51.051162051282056,6.0,133161.0,14187.0,1782777057.742635,1782777057.381009,1782777057.422475,1782777057.425056,1782777057.422573
28,25,1782777059.1761749,51.061385,51.061418461538466,4.0,118114.0,1314.0,1782777059.146553,1782777058.908766,1782777058.952835,1782777058.954196,1782777058.952798
29,32,1782777061.5072725,51.079375000000006,51.07936717948718,0.0,117717.0,481.0,1782777061.470931,1782777061.23043,1782777060.496363,1782777061.278344,1782777061.277269
30,39,1782777063.499558,51.097305000000006,51.0973158974359,1.0,118550.0,374.0,1782777063.469306,1782777063.229298,1782777062.91742,1782777063.243643,1782777063.242476
31,3,1782777051.496049,51.00501500000001,51.005008205128206,38.0,174826.0,56282.0,1782777051.457114,1782777051.338786,1782777050.951529,1782777050.953176,1782777050.951408
32,7,1782777052.6336937,51.015285000000006,51.015264615384616,31.0,174514.0,56805.0,1782777052.589468,1782777052.23562,1782777052.284471,1782777052.286074,1782777052.284368
33,12,1782777054.5801384,51.02812,51.028085128205134,43.0,173942.0,56282.0,1782777054.544747,1782777054.427544,1782777054.488318,1782777054.489245,1782777054.488184
34,19,1782777056.9911983,51.046015000000004,51.04603384615385,25.0,168955.0,51105.0,1782777056.951419,1782777056.710437,1782777056.75778,1782777056.759602,1782777056.757865
35,22,1782777057.953494,51.053765000000006,51.053726153846156,7.0,122456.0,5175.0,1782777057.943618,1782777057.82529,1782777057.891795,1782777057.892941,1782777057.891684
36,26,1782777059.5047789,51.06401,51.06398256410257,1.0,118684.0,1094.0,1782777059.466194,1782777059.231245,1782777059.286779,1782777059.288676,1782777059.286578
37,28,1782777060.17909,51.069120000000005,51.06911076923077,0.0,119286.0,748.0,1782777060.137186,1782777059.898124,1782777059.941879,1782777059.943867,1782777059.941672
38,35,1782777062.2634075,51.08701000000001,51.08705948717949,0.0,118548.0,422.0,1782777062.257379,1782777062.024161,1782777062.075342,1782777062.076459,1782777062.075272
39,40,1782777063.7093377,51.09988500000001,51.09988,1.0,118754.0,328.0,1782777063.673865,1782777063.556926,1782777062.91742,1782777063.609646,1782777063.60825
