,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
23,32,1782777280.4332616,51.079390000000004,51.079362179487184,6.0,604684.0,4096.0,1782777280.399002,1782777280.164261,1782777279.916644,1782777279.918163,1782777279.916549
24,39,1782777282.2094336,51.09732,51.097310897435904,8.0,605386.0,2350.0,1782777282.154996,1782777282.03393,1782777281.666926,1782777281.669196,1782777281.666485
25,2,1782777269.4458365,51.00245,51.00243910256411,178.0,888420.0,284308.0,1782777269.413108,1782777269.174535,1782777269.053963,1782777269.056494,1782777269.053732
26,9,1782777271.7040849,51.0204,51.02038782051283,205.0,887132.0,285506.0,1782777271.652097,1782777271.535103,1782777271.660535,1782777271.661786,1782777271.660626
27,14,1782777273.642376,51.033190000000005,51.03320833333334,156.0,884256.0,283539.0,1782777273.599727,1782777273.364469,1782777273.280335,1782777273.281322,1782777273.280305
28,21,1782777276.283395,51.051190000000005,51.05115705128206,136.0,875800.0,273953.0,1782777276.248203,1782777275.891641,1782777276.002977,1782777276.005409,1782777276.003054
29,23,1782777276.9361954,51.056295000000006,51.05628525641026,103.0,784265.0,182883.0,1782777276.898801,1782777276.550615,1782777276.796436,1782777276.798852,1782777276.796369
30,30,1782777279.6288483,51.07428,51.07423397435898,7.0,604921.0,6357.0,1782777279.591379,1782777279.471591,1782777279.074727,1782777279.076093,1782777279.074539
31,37,1782777281.6970034,51.092200000000005,51.092182692307695,8.0,605386.0,2350.0,1782777281.657719,1782777281.534013,1782777281.666926,1782777281.669196,1782777281.666485
32,3,1782777269.6626089,51.00502,51.00500320512821,178.0,888420.0,284308.0,1782777269.622278,1782777269.50461,1782777269.053963,1782777269.056494,1782777269.053732
33,11,1782777272.767557,51.02548,51.02551602564103,159.0,888597.0,285191.0,1782777272.726423,1782777272.488055,1782777272.721305,1782777272.722369,1782777272.721246
34,15,1782777273.9849644,51.035725000000006,51.03577243589744,173.0,884549.0,282301.0,1782777273.942654,1782777273.703424,1782777273.821022,1782777273.823235,1782777273.820933
35,22,1782777276.4889958,51.053755,51.05372115384616,136.0,875800.0,273953.0,1782777276.458006,1782777276.343215,1782777276.002977,1782777276.005409,1782777276.003054
36,24,1782777277.3976743,51.058865000000004,51.05884935897436,103.0,784265.0,182883.0,1782777277.359479,1782777277.008003,1782777276.796436,1782777276.798852,1782777276.796369
37,31,1782777280.081361,51.07683,51.07679807692308,6.0,604684.0,4096.0,1782777280.04068,1782777279.68427,1782777279.916644,1782777279.918163,1782777279.916549
38,34,1782777280.9020967,51.084525000000006,51.08449038461539,7.0,602858.0,3286.0,1782777280.861058,1782777280.739245,1782777280.584284,1782777280.586492,1782777280.584145
39,38,1782777281.9766781,51.094770000000004,51.0947467948718,8.0,605386.0,2350.0,1782777281.930264,1782777281.81299,1782777281.666926,1782777281.669196,1782777281.666485
