scan_id,uid,time,plan_name,motors,detectors,num_points,exit_status,nrows,csv
6,4cbdabe5-a596-405e-b1b5-b49ed487e8a6,2026-06-25T20:25:42.144573,rel_scan,sample_y,tetramm1,60,success,60,scan_0006_20260625_202542_4cbdabe5.csv
7,2bf1f018-3a07-4c01-b970-876de60db1f2,2026-06-25T20:26:07.783561,rel_scan,sample_y,tetramm1,60,fail,24,scan_0007_20260625_202607_2bf1f018.csv
8,43b28818-3530-40fd-a387-5628fc837744,2026-06-25T20:26:37.926958,rel_scan,sample_y,tetramm1,20,success,20,scan_0008_20260625_202637_43b28818.csv
9,0e3c6f5e-7c83-4c30-b56a-dacfb8c5ad30,2026-06-25T20:27:08.208055,rel_scan,sample_y,tetramm1,20,success,20,scan_0009_20260625_202708_0e3c6f5e.csv
10,6af740dd-fd7c-4b6f-a367-dcd949c43b05,2026-06-26T23:37:18.519680,rel_scan,sample_y,tetramm1,60,success,60,scan_0010_20260626_233718_6af740dd.csv
11,a79a07e4-4833-4af9-8322-2f60e22ed1c1,2026-06-26T23:38:05.992902,rel_scan,sample_x,tetramm1,60,success,60,scan_0011_20260626_233805_a79a07e4.csv
12,32799e14-523e-48ec-8427-9b014e18418d,2026-06-27T04:06:18.433148,rel_scan,sample_x,tetramm1,60,success,60,scan_0012_20260627_040618_32799e14.csv
13,5e3046c2-3df8-438a-89c6-e5c6f245d964,2026-06-27T04:06:55.577045,rel_scan,sample_y,tetramm1,60,success,60,scan_0013_20260627_040655_5e3046c2.csv
14,8a8d8d41-7a8c-4c7e-a345-6f7821702577,2026-06-27T08:05:28.134018,rel_scan,sample_y,tetramm1,60,success,60,scan_0014_20260627_080528_8a8d8d41.csv
15,0302dd97-5f8e-4105-95e7-bae6118e8241,2026-06-27T14:44:10.643825,rel_scan,sample_x,tetramm1,60,success,60,scan_0015_20260627_144410_0302dd97.csv
16,9e80d70e-ff4c-43e8-ad35-23faae104a96,2026-06-27T14:46:01.148487,rel_scan,sample_y,tetramm1,60,success,60,scan_0016_20260627_144601_9e80d70e.csv
17,281329d1-9524-4344-ab41-72a055e16f58,2026-06-28T01:32:36.091611,rel_scan,sample_y,tetramm1,60,success,60,scan_0017_20260628_013236_281329d1.csv
18,9179f19a-76be-4e33-9576-6857c36f32cc,2026-06-28T01:33:34.000839,rel_scan,sample_x,tetramm1,60,success,60,scan_0018_20260628_013334_9179f19a.csv
19,cf21381a-8b0e-4644-94e3-dc8840a76162,2026-06-28T11:01:59.852668,rel_scan,sample_x,tetramm1,60,success,60,scan_0019_20260628_110159_cf21381a.csv
20,356c2624-d8d0-417d-b490-110e14d867d7,2026-06-28T11:03:26.034889,rel_scan,sample_y,tetramm1,60,success,60,scan_0020_20260628_110326_356c2624.csv
21,1c2269f0-f985-4232-9e22-b1b8b31e8291,2026-06-28T11:18:14.511157,rel_scan,sample_y,tetramm1,60,success,60,scan_0021_20260628_111814_1c2269f0.csv
22,faaadf25-946f-4c40-8130-e701819debaa,2026-06-28T11:19:33.489238,rel_scan,sample_y,tetramm1,60,success,60,scan_0022_20260628_111933_faaadf25.csv
23,41b9e33b-b990-4486-aa2e-b107886d419a,2026-06-28T19:34:00.738531,rel_scan,sample_x,tetramm1,60,success,60,scan_0023_20260628_193400_41b9e33b.csv
24,e5637849-1bca-459f-a1da-675944ed6c33,2026-06-28T19:34:57.123060,rel_scan,sample_y,tetramm1,60,success,60,scan_0024_20260628_193457_e5637849.csv
25,214dbb4a-d144-483a-9522-a6b3ff43423f,2026-06-28T19:36:24.124469,rel_scan,sample_x,tetramm1,60,success,60,scan_0025_20260628_193624_214dbb4a.csv
26,bf86302e-f4c6-4b5b-83b1-a68ce1004d4d,2026-06-28T19:38:45.336490,rel_scan,sample_x,tetramm1,60,success,60,scan_0026_20260628_193845_bf86302e.csv
27,4e431f2d-def7-47ab-bba6-cffe9b219867,2026-06-28T19:39:54.687171,rel_scan,sample_x,tetramm1,60,success,60,scan_0027_20260628_193954_4e431f2d.csv
28,0661d592-b20c-4bca-8677-6169c89c43ea,2026-06-28T19:43:40.295962,rel_scan,sample_y,tetramm1,60,success,60,scan_0028_20260628_194340_0661d592.csv
29,ecfc76e1-2c1b-4fc7-b961-4a3b5a376289,2026-06-29T15:27:35.329535,dscan,huber_mu,lambda2M,40,success,40,scan_0029_20260629_152735_ecfc76e1.csv
30,cb7951a7-612f-4333-9c44-25f20a6d7bb6,2026-06-29T15:28:35.733746,dscan,huber_mu,lambda2M,40,success,40,scan_0030_20260629_152835_cb7951a7.csv
31,ce77b154-b952-4901-9b34-b67569d3b9f4,2026-06-29T15:44:54.537450,dscan,huber_mu,lambda2M,40,success,40,scan_0031_20260629_154454_ce77b154.csv
32,ae12dc0f-a567-4dd1-a170-83235e688f1f,2026-06-29T15:47:21.955110,dscan,huber_mu,lambda2M,40,success,40,scan_0032_20260629_154721_ae12dc0f.csv
1,4d77bd82-b1c4-4b40-bf09-4f076dabcca0,2026-06-29T18:43:25.689233,dscan,huber_y,lambda2M,20,success,20,scan_0001_20260629_184325_4d77bd82.csv
2,1b6b2e19-7d5a-4e6a-992f-31b06d026fa6,2026-06-29T18:46:54.653780,dscan,huber_y,lambda2M,20,success,20,scan_0002_20260629_184654_1b6b2e19.csv
3,cb6b9af5-8056-4852-879b-c86b0763f26a,2026-06-29T18:47:59.062975,dscan,huber_y,lambda2M,25,success,25,scan_0003_20260629_184759_cb6b9af5.csv
4,09621bb9-74f1-43aa-a350-400bd87be69e,2026-06-29T18:48:49.595166,dscan,huber_y,lambda2M,40,success,40,scan_0004_20260629_184849_09621bb9.csv
5,6994673e-aa44-44f8-8d47-be897c0c2491,2026-06-29T18:49:45.604688,dscan,huber_y,lambda2M,40,success,40,scan_0005_20260629_184945_6994673e.csv
6,18918831-4d16-4dfc-ade8-350967266878,2026-06-29T18:50:49.149200,dscan,huber_y,lambda2M,40,success,40,scan_0006_20260629_185049_18918831.csv
7,fcbd779e-b673-466c-bcf7-1b5bd7117a4f,2026-06-29T18:51:19.241543,dscan,huber_y,lambda2M,40,success,40,scan_0007_20260629_185119_fcbd779e.csv
8,1486007c-371d-40b0-9e11-5f5432ff31db,2026-06-29T18:52:09.309170,dscan,huber_eta,lambda2M,40,success,40,scan_0008_20260629_185209_1486007c.csv
9,054b03f0-2a45-46f8-b4ef-43f602743275,2026-06-29T18:52:56.667981,dscan,huber_eta,lambda2M,40,success,40,scan_0009_20260629_185256_054b03f0.csv
10,c536ddb9-e54b-4492-991d-ec875c01569e,2026-06-29T18:54:27.550208,dscan,huber_y,lambda2M,40,success,40,scan_0010_20260629_185427_c536ddb9.csv
11,6309dd99-6f86-4f1b-bf77-e0a53d9a02dd,2026-06-29T18:55:36.702490,dscan,huber_eta,lambda2M,40,success,40,scan_0011_20260629_185536_6309dd99.csv
12,def8215c-1ee5-4955-ab73-68c1624e2e4a,2026-06-29T18:57:04.767898,dscan,huber_y,lambda2M,40,success,40,scan_0012_20260629_185704_def8215c.csv
