,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_y,sample_y_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_y,ts_sample_y_user_setpoint
0,12,1782565532.5271068,-0.39910475186938954,43.95601149919864,1.0994442374244966,0.0004930404632791807,44.65684402521699,42.269654541015626,42.26916866496458,1782565532.466043,1782565532.466692,1782565532.466927,1782565532.467131,1782565532.46743,1782565532.505215,1782565532.352334
1,17,1782565533.9420836,-0.3990560007368366,44.07437697944685,1.188496277685369,0.0006606130544276171,44.86447786944993,42.777835083007815,42.77764324123577,1782565533.852705,1782565533.853036,1782565533.85331,1782565533.853659,1782565533.854214,1782565533.914194,1782565533.714076
2,19,1782565534.45795,-0.39925249462434936,44.23011726942997,123.8813485819089,0.0006446354590655708,167.71285799217338,42.981237182617186,42.98103307174424,1782565534.399532,1782565534.399796,1782565534.400027,1782565534.400301,1782565534.400534,1782565534.449194,1782565534.247889
3,3,1782565529.434966,-0.39919261501403913,43.93685191934778,1.0993124838071953,0.0004233757045343678,44.63739516384541,41.35428741455078,41.35391442767645,1782565529.376537,1782565529.376865,1782565529.377144,1782565529.377441,1782565529.377994,1782565529.406174,1782565529.251757
4,5,1782565530.3994126,-0.3990445550259739,44.030299370261794,1.09935217909371,0.00044686542122876634,44.73105385975073,41.55776306152344,41.55730425818492,1782565530.336706,1782565530.336952,1782565530.337248,1782565530.337454,1782565530.337764,1782565530.371162,1782565530.219137
5,14,1782565533.1424673,-0.3991145399255762,44.06957777504059,1.0994095988149435,0.0005860534254273789,44.77045888735539,42.47305236816406,42.47255849547306,1782565533.106792,1782565533.107221,1782565533.10748,1782565533.107742,1782565533.107945,1782565533.127193,1782565532.975051
6,21,1782565535.0734909,-0.3990598551935339,44.11163262830263,121.13013731681458,0.0006009659470728639,164.84331105587088,43.184637451171874,43.18442290225272,1782565535.066526,1782565535.067078,1782565535.067293,1782565535.067556,1782565535.069336,1782565535.023211,1782565534.822394
7,28,1782565537.0403917,-0.3991222592644706,44.28012313235102,121.06792674641707,0.0005004691662505136,164.94942808866995,43.89647369384766,43.89628730903238,1782565536.948731,1782565536.949355,1782565536.949592,1782565536.95006,1782565536.951167,1782565537.02222,1782565536.820132
8,35,1782565538.9754226,-0.39908871000189367,44.17076770407512,94.28736413548418,0.00045951224060446807,138.05950264179793,44.60863952636719,44.60815171581204,1782565538.964245,1782565538.964598,1782565538.965467,1782565538.966335,1782565538.966824,1782565538.958246,1782565538.804269
9,42,1782565540.757,-0.3992001988214187,44.11081786579161,94.86479757188961,0.0005792012029152205,138.57699444006275,45.32020141601563,45.3200161225917,1782565540.65083,1782565540.651117,1782565540.65134,1782565540.651593,1782565540.651834,1782565540.705196,1782565540.50467
10,49,1782565542.5599205,-0.3991328485948842,44.41427593957132,1.099387094740648,0.00038781564892344125,45.11491800136593,46.03210388183594,46.031880529371364,1782565542.486782,1782565542.487181,1782565542.487541,1782565542.487876,1782565542.489225,1782565542.552239,1782565542.351984
