,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
11,7,1782777429.5165415,50.988705,50.988674230769234,150.0,872542.0,285142.0,1782777429.46836,1782777429.130252,1782777428.793774,1782777428.795922,1782777428.793834
12,16,1782777433.714035,51.034845000000004,51.034828076923084,165.0,861550.0,283948.0,1782777433.675873,1782777433.335117,1782777433.272208,1782777433.273405,1782777433.272227
13,21,1782777436.1546884,51.060505000000006,51.060469102564106,87.0,721430.0,142866.0,1782777436.117104,1782777435.542638,1782777435.990617,1782777435.992502,1782777435.990553
14,27,1782777439.1059468,51.091275,51.09123833333334,13.0,579528.0,3139.0,1782777439.06923,1782777438.606486,1782777438.62149,1782777438.622551,1782777438.621532
15,30,1782777440.7783847,51.106635000000004,51.106622948717956,9.0,579268.0,1911.0,1782777440.741035,1782777440.274569,1782777440.729104,1782777440.73012,1782777440.72903
16,36,1782777443.9207187,51.13742500000001,51.137392179487186,2.0,576845.0,1450.0,1782777443.867944,1782777443.524962,1782777443.530722,1782777443.531991,1782777443.530639
17,38,1782777445.201591,51.147665,51.147648589743596,2.0,578509.0,1246.0,1782777445.150601,1782777444.686567,1782777445.120202,1782777445.121185,1782777445.120136
18,3,1782777427.1420658,50.968195,50.968161410256414,181.0,873647.0,284885.0,1782777427.109854,1782777426.769869,1782777426.614575,1782777426.616205,1782777426.614771
19,6,1782777429.060652,50.983595,50.98354602564103,150.0,872542.0,285142.0,1782777429.024629,1782777428.455864,1782777428.793774,1782777428.795922,1782777428.793834
20,9,1782777430.3256354,50.998960000000004,50.998930641025645,171.0,874392.0,285074.0,1782777430.288258,1782777429.938741,1782777429.570958,1782777429.573326,1782777429.570811
21,15,1782777433.2244172,51.029720000000005,51.029699871794875,161.0,859336.0,283854.0,1782777433.190573,1782777432.844488,1782777432.440088,1782777432.442628,1782777432.44055
22,18,1782777434.6091928,51.04510500000001,51.045084487179494,183.0,859389.0,283194.0,1782777434.57223,1782777434.22359,1782777434.22439,1782777434.226149,1782777434.223418
23,24,1782777437.4040692,51.075875,51.075853717948725,23.0,608131.0,33322.0,1782777437.353666,1782777437.01227,1782777436.657524,1782777436.659839,1782777436.657299
24,29,1782777440.2184799,51.101525,51.10149474358975,6.0,578447.0,2259.0,1782777440.173509,1782777439.598032,1782777439.615547,1782777439.618184,1782777439.615417
25,35,1782777443.4588737,51.132305,51.13226397435898,3.0,578029.0,1471.0,1782777443.421046,1782777443.080026,1782777442.986091,1782777442.98729,1782777442.986125
26,11,1782777431.4983938,51.009225,51.009187051282055,170.0,873367.0,286135.0,1782777431.468416,1782777431.121445,1782777430.377579,1782777430.379011,1782777430.377469
27,14,1782777432.786881,51.024605,51.024571666666674,161.0,859336.0,283854.0,1782777432.724527,1782777432.485799,1782777432.440088,1782777432.442628,1782777432.44055
28,20,1782777435.4805136,51.055355000000006,51.055340897435904,182.0,853867.0,276404.0,1782777435.445301,1782777435.104313,1782777435.117435,1782777435.118765,1782777435.11737
29,23,1782777436.9544442,51.070765,51.070725512820516,23.0,608131.0,33322.0,1782777436.893039,1782777436.652313,1782777436.657524,1782777436.659839,1782777436.657299
30,25,1782777438.112119,51.081030000000005,51.080981923076926,4.0,583345.0,5530.0,1782777438.067862,1782777437.489302,1782777437.429425,1782777437.430647,1782777437.429468
31,31,1782777441.34132,51.111790000000006,51.11175115384616,14.0,575529.0,1725.0,1782777441.305009,1782777440.840868,1782777441.28959,1782777441.290912,1782777441.289536
32,34,1782777443.020003,51.127155,51.127135769230776,3.0,578029.0,1471.0,1782777442.987214,1782777442.52921,1782777442.986091,1782777442.98729,1782777442.986125
33,2,1782777426.7192984,50.963080000000005,50.96303320512821,181.0,873647.0,284885.0,1782777426.682273,1782777426.339516,1782777426.614575,1782777426.616205,1782777426.614771
34,12,1782777431.946305,51.014340000000004,51.01431525641026,175.0,872349.0,284866.0,1782777431.895667,1782777431.55714,1782777431.555868,1782777431.556883,1782777431.555742
35,17,1782777434.165276,51.03999,51.039956282051286,165.0,861550.0,283948.0,1782777434.123827,1782777433.775476,1782777433.272208,1782777433.273405,1782777433.272227
36,26,1782777438.5447054,51.086155000000005,51.086110128205135,4.0,583345.0,5530.0,1782777438.505115,1782777438.162752,1782777437.429425,1782777437.430647,1782777437.429468
37,32,1782777441.7989597,51.116915000000006,51.116879358974366,14.0,575529.0,1725.0,1782777441.753093,1782777441.403312,1782777441.28959,1782777441.290912,1782777441.289536
38,37,1782777444.6194124,51.14255000000001,51.14252038461539,6.0,579806.0,1317.0,1782777444.570168,1782777443.992579,1782777444.429833,1782777444.431341,1782777444.429812
39,40,1782777446.0335388,51.15794,51.15790500000001,3.0,577726.0,1166.0,1782777445.981534,1782777445.641933,1782777445.700484,1782777445.701703,1782777445.700499
