,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
17,19,1782776993.7758443,51.04602500000001,51.04604884615385,323.0,1733227.0,552228.0,1782776993.725555,1782776993.487364,1782776992.819626,1782776992.822056,1782776992.819532
18,23,1782776995.361452,51.056325,51.05630525641026,27.0,1230666.0,50579.0,1782776995.32765,1782776994.967136,1782776995.2451,1782776995.246335,1782776995.245058
19,26,1782776996.4868736,51.064015000000005,51.06399756410257,16.0,1185084.0,12413.0,1782776996.447413,1782776996.215527,1782776996.370616,1782776996.372785,1782776996.370535
20,29,1782776997.3974323,51.071650000000005,51.071689871794874,16.0,1185084.0,12413.0,1782776997.365543,1782776997.247747,1782776996.370616,1782776996.372785,1782776996.370535
21,33,1782776998.573347,51.081965000000004,51.081946282051284,15.0,1184006.0,7457.0,1782776998.530113,1782776998.406291,1782776997.488141,1782776997.489663,1782776997.48809
22,36,1782776999.4708974,51.089650000000006,51.08963858974359,21.0,1178691.0,4864.0,1782776999.431975,1782776999.196422,1782776998.784728,1782776998.785703,1782776998.78463
23,40,1782777000.6172066,51.099865,51.099895000000004,14.0,1179944.0,3984.0,1782777000.581365,1782777000.349334,1782776999.921406,1782776999.922644,1782776999.92143
24,7,1782776988.6996388,51.01529000000001,51.01527961538462,324.0,1751998.0,569038.0,1782776988.641003,1782776988.285271,1782776987.728405,1782776987.729687,1782776987.728299
25,12,1782776990.8176246,51.02808,51.02810012820514,342.0,1752333.0,567934.0,1782776990.768255,1782776990.527156,1782776990.081944,1782776990.084198,1782776990.08182
26,14,1782776991.810019,51.03325,51.03322833333334,308.0,1738080.0,557316.0,1782776991.775727,1782776991.536191,1782776991.478319,1782776991.479479,1782776991.478207
27,21,1782776994.6815052,51.0512,51.05117705128206,230.0,1629423.0,441817.0,1782776994.663554,1782776994.30874,1782776993.953896,1782776993.954874,1782776993.953848
28,27,1782776996.835914,51.066535,51.06656166666667,16.0,1185084.0,12413.0,1782776996.787497,1782776996.547539,1782776996.370616,1782776996.372785,1782776996.370535
29,30,1782776997.7727828,51.074245000000005,51.07425397435898,15.0,1184006.0,7457.0,1782776997.739886,1782776997.496522,1782776997.488141,1782776997.489663,1782776997.48809
30,34,1782776998.912964,51.084465,51.08451038461539,21.0,1178691.0,4864.0,1782776998.874896,1782776998.63738,1782776998.784728,1782776998.785703,1782776998.78463
31,37,1782776999.7191722,51.092235,51.092202692307694,21.0,1178691.0,4864.0,1782776999.674555,1782776999.55296,1782776998.784728,1782776998.785703,1782776998.78463
32,1,1782776986.8152766,50.99985,50.99989500000001,14.0,1178971.0,1822.0,1782776986.685718,1782776985.656033,1782776949.68349,1782776949.68439,1782776949.683355
33,5,1782776987.9111102,51.01014000000001,51.01015141025642,324.0,1751998.0,569038.0,1782776987.874876,1782776987.750944,1782776987.728405,1782776987.729687,1782776987.728299
34,11,1782776990.4658456,51.02549500000001,51.02553602564103,342.0,1752333.0,567934.0,1782776990.429188,1782776990.193777,1782776990.081944,1782776990.084198,1782776990.08182
35,16,1782776992.6014268,51.038365000000006,51.03835653846154,308.0,1738080.0,557316.0,1782776992.560611,1782776992.206816,1782776991.478319,1782776991.479479,1782776991.478207
36,22,1782776994.90823,51.053765000000006,51.05374115384616,230.0,1629423.0,441817.0,1782776994.869203,1782776994.7524,1782776993.953896,1782776993.954874,1782776993.953848
37,25,1782776996.1590629,51.06140500000001,51.06143346153847,27.0,1230666.0,50579.0,1782776996.120081,1782776995.880978,1782776995.2451,1782776995.246335,1782776995.245058
38,32,1782776998.3459797,51.079370000000004,51.07938217948718,15.0,1184006.0,7457.0,1782776998.304983,1782776998.062028,1782776997.488141,1782776997.489663,1782776997.48809
39,39,1782777000.2922819,51.09731000000001,51.0973308974359,14.0,1179944.0,3984.0,1782777000.258027,1782777000.023786,1782776999.921406,1782776999.922644,1782776999.92143
