,seq_num,time,huber_mu,huber_mu_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_mu,ts_huber_mu_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
18,33,1782766083.8447156,7.4912491852479945,7.49140084448328,1602.0,799787.0,30797.0,1782766083.784574,1782766082.801428,1782766083.231953,1782766083.234423,1782766083.23157
19,35,1782766086.1336782,7.696606070523984,7.696529049611485,1440.0,734244.0,19149.0,1782766086.107704,1782766085.100828,1782766085.43502,1782766085.437375,1782766085.434922
20,37,1782766088.34558,7.901763466580007,7.901657254739689,1439.0,672336.0,10337.0,1782766088.315876,1782766087.329255,1782766087.756246,1782766087.757831,1782766087.756293
21,39,1782766090.524122,8.106691533852,8.106785459867893,1325.0,643618.0,5969.0,1782766090.449573,1782766089.482201,1782766089.903652,1782766089.905594,1782766089.903704
22,1,1782766047.814779,4.209523440815985,4.20934956243201,471.0,133768.0,1429.0,1782766047.660382,1782766041.991902,1782766001.404486,1782766001.406298,1782766001.404426
23,4,1782766051.5241725,4.516987961339993,4.517041870124331,22.0,588297.0,13.0,1782766051.451062,1782766050.476812,1782766050.896368,1782766050.89792,1782766050.896304
24,15,1782766063.6950042,5.6453197767719985,5.645246998329441,1638.0,618941.0,3045.0,1782766063.668484,1782766062.664822,1782766063.099567,1782766063.101566,1782766063.099278
25,17,1782766065.9133174,5.850578426179993,5.850375203457645,1731.0,629886.0,3934.0,1782766065.831706,1782766064.86253,1782766065.260582,1782766065.26291,1782766065.260245
26,19,1782766068.1436956,6.055445473220004,6.0555034085858495,1876.0,644178.0,5715.0,1782766068.085106,1782766067.079249,1782766067.481798,1782766067.483205,1782766067.481746
27,21,1782766070.3569455,6.260551572048001,6.260631613714054,2236.0,659006.0,6660.0,1782766070.319448,1782766069.329526,1782766069.71764,1782766069.719859,1782766069.716944
28,34,1782766084.9721453,7.593905332031994,7.593964947047397,1610.0,769750.0,25332.0,1782766084.914631,1782766083.930102,1782766084.307531,1782766084.309438,1782766084.307426
29,2,1782766049.3183026,4.311688072983998,4.311913664996126,17.0,590532.0,5.0,1782766049.281518,1782766047.947213,1782766048.2022,1782766048.203885,1782766048.20211
30,7,1782766054.8718154,4.824881970419995,4.824734177816623,13.0,590166.0,6.0,1782766054.800325,1782766053.828926,1782766054.232158,1782766054.233834,1782766054.232038
31,9,1782766057.0764947,5.029697720232008,5.0298623829448275,36.0,586597.0,19.0,1782766057.01321,1782766056.039806,1782766056.436853,1782766056.439138,1782766056.436431
32,11,1782766059.2951682,5.234884620575997,5.234990588073032,256.0,599861.0,270.0,1782766059.225537,1782766058.254502,1782766058.662872,1782766058.664107,1782766058.662833
33,13,1782766061.5056608,5.439946798248002,5.440118793201236,994.0,606251.0,1280.0,1782766061.4572,1782766060.466831,1782766060.868815,1782766060.871033,1782766060.868214
34,22,1782766071.6960747,6.362986771947988,6.36319571627817,2138.0,664281.0,7308.0,1782766071.602394,1782766070.632865,1782766070.843359,1782766070.845093,1782766070.843245
35,24,1782766073.9405992,6.568263526259983,6.568323921406375,2101.0,698959.0,11627.0,1782766073.8747,1782766072.900354,1782766073.263945,1782766073.266313,1782766073.26343
36,26,1782766076.126397,6.7735989538720105,6.773452126534579,2112.0,732558.0,17960.0,1782766076.049236,1782766075.081202,1782766075.50322,1782766075.505612,1782766075.502552
37,28,1782766078.4088216,6.978623245356005,6.9785803316627835,1889.0,803537.0,30982.0,1782766078.336221,1782766077.357929,1782766077.758747,1782766077.761351,1782766077.757951
38,30,1782766080.5865867,7.18367603530001,7.183708536790988,1838.0,844695.0,38747.0,1782766080.547054,1782766079.571073,1782766079.97303,1782766079.975364,1782766079.972148
39,32,1782766082.7542307,7.388681216051992,7.388836741919192,1655.0,821175.0,35090.0,1782766082.728127,1782766081.72422,1782766082.158316,1782766082.161102,1782766082.157785
