,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
25,4,1782777081.9370596,51.007535000000004,51.00753730769232,150.0,873581.0,285019.0,1782777081.888924,1782777081.770714,1782777081.548735,1782777081.549392,1782777081.54863
26,13,1782777085.2043123,51.03058000000001,51.03061423076924,188.0,874689.0,283303.0,1782777085.169086,1782777085.051061,1782777084.797817,1782777084.798956,1782777084.797724
27,15,1782777085.865518,51.035695000000004,51.03574243589744,185.0,867852.0,276341.0,1782777085.82618,1782777085.593343,1782777085.505009,1782777085.505854,1782777085.504948
28,20,1782777087.50367,51.048585,51.04856294871795,108.0,783424.0,190800.0,1782777087.454331,1782777087.214567,1782777087.321116,1782777087.323215,1782777087.320837
29,22,1782777088.2090635,51.053735,51.05369115384616,26.0,631001.0,39853.0,1782777088.171533,1782777088.05472,1782777088.003656,1782777088.005435,1782777088.003122
30,29,1782777090.7107706,51.07161000000001,51.07163987179487,6.0,598306.0,4197.0,1782777090.673878,1782777090.556885,1782777090.329796,1782777090.331275,1782777090.329751
31,36,1782777092.7728143,51.089600000000004,51.08958858974359,10.0,599237.0,2138.0,1782777092.742492,1782777092.500149,1782777092.269801,1782777092.271486,1782777092.26928
32,8,1782777083.2799914,51.01776,51.01779371794873,187.0,880117.0,285318.0,1782777083.229023,1782777082.994682,1782777082.788817,1782777082.790043,1782777082.788776
33,14,1782777085.534441,51.033150000000006,51.03317833333334,185.0,867852.0,276341.0,1782777085.497871,1782777085.261474,1782777085.505009,1782777085.505854,1782777085.504948
34,16,1782777086.261739,51.038335000000004,51.03830653846154,166.0,869715.0,277719.0,1782777086.214282,1782777085.977809,1782777086.046228,1782777086.048469,1782777086.04584
35,23,1782777088.5652044,51.05621000000001,51.05625525641026,26.0,631001.0,39853.0,1782777088.514609,1782777088.277534,1782777088.003656,1782777088.005435,1782777088.003122
36,26,1782777089.8247793,51.063975000000006,51.06394756410257,5.0,597198.0,5656.0,1782777089.787887,1782777089.437419,1782777089.550698,1782777089.552105,1782777089.550594
37,30,1782777090.91785,51.074220000000004,51.07420397435898,6.0,598306.0,4197.0,1782777090.887017,1782777090.770113,1782777090.329796,1782777090.331275,1782777090.329751
38,33,1782777091.7628832,51.08191000000001,51.08189628205128,14.0,595772.0,2573.0,1782777091.715502,1782777091.59269,1782777091.700916,1782777091.702178,1782777091.70085
39,37,1782777092.9848938,51.092155000000005,51.09215269230769,7.0,593048.0,2010.0,1782777092.949665,1782777092.833436,1782777092.943446,1782777092.944578,1782777092.943347
