,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,1,1782400505.3694649,-0.39984713542057776,14.971627591719782,1.1005135570391025,0.00042124406748765076,15.672715257405775,159.79994445800784,159.79997863769535,1782400505.249126,1782400505.249404,1782400505.249654,1782400505.249855,1782400505.250056,1782400505.268025,1782400504.69665
1,4,1782400506.1673777,-0.3998583443236296,15.021442797234357,1.1005918632937808,0.0005131457778980078,15.722689461982432,160.10546539306642,160.10506338345806,1782400506.110164,1782400506.110451,1782400506.110692,1782400506.110993,1782400506.111331,1782400506.141065,1782400505.989381
2,6,1782400507.162866,-0.3999461493833454,14.908016535425528,1.1006588065474092,0.0004155209720764079,15.609144713561644,160.3087225341797,160.30845321396654,1782400507.159166,1782400507.159431,1782400507.159646,1782400507.159873,1782400507.160145,1782400507.156009,1782400506.908113
3,14,1782400510.129311,-0.39989721505984294,15.067812763831482,1.1007832916570275,0.0005731503925142661,15.769271990821176,161.12227844238285,161.12201253600043,1782400510.039875,1782400510.040106,1782400510.040319,1782400510.040943,1782400510.041316,1782400510.124076,1782400509.832472
4,18,1782400511.8676975,-0.39979814599085733,15.042175300689605,1.2055380044098665,0.00037329638526561234,15.848288455493895,161.52917297363283,161.52879219701737,1782400511.797513,1782400511.797686,1782400511.797884,1782400511.798056,1782400511.798203,1782400511.858023,1782400511.56681
5,23,1782400513.7306628,-0.39995510935687084,14.897728483024812,57.77881799819945,0.0004400906586232654,72.27703146252578,162.0377575683594,162.03726677328856,1782400513.649301,1782400513.649508,1782400513.649768,1782400513.65002,1782400513.650888,1782400513.718017,1782400513.426379
6,29,1782400516.4174473,-0.3998817034035482,14.922972715265601,57.82007518573424,0.00039822357907397493,72.34356442117522,162.6478131103516,162.647436264814,1782400516.330443,1782400516.330629,1782400516.33088,1782400516.331124,1782400516.33151,1782400516.351041,1782400515.986052
7,8,1782400507.7946045,-0.3998758219315638,15.012370185800643,1.100542333180169,0.0003470642899527606,15.713383761339209,160.51214660644533,160.511843044475,1782400507.773744,1782400507.774055,1782400507.774234,1782400507.77495,1782400507.775307,1782400507.771057,1782400507.52411
8,10,1782400508.4408247,-0.39972865257916557,14.984683155537967,1.1006690539516806,0.0003787513502307263,15.686002308260726,160.71559661865237,160.71523287498349,1782400508.42811,1782400508.428328,1782400508.428672,1782400508.428907,1782400508.429082,1782400508.435063,1782400508.190477
9,13,1782400509.6547973,-0.399829205048025,15.034666675794286,1.1007512983076473,0.0006342826446178518,15.736223051698527,161.02076293945316,161.0203176207462,1782400509.552549,1782400509.552763,1782400509.553003,1782400509.553247,1782400509.553624,1782400509.650048,1782400509.40483
10,16,1782400511.132497,-0.39969544140069757,15.002371098531775,1.1007488511440964,0.000503369443909465,15.703927877719112,161.32574340820315,161.3254023665089,1782400511.051673,1782400511.051892,1782400511.052138,1782400511.052374,1782400511.05276,1782400511.104057,1782400510.814669
11,25,1782400514.5836673,-0.3999730963250018,15.148976217619571,57.796774639391465,0.0003640712083052213,72.5461418318943,162.24099090576175,162.24065660379705,1782400514.561595,1782400514.561803,1782400514.562082,1782400514.562276,1782400514.56265,1782400514.576054,1782400514.239027
12,37,1782400519.7652485,-0.3998235559157801,15.085497727803372,57.607462929624056,0.0003334402840622806,72.29347054179578,163.46139129638675,163.4609955868479,1782400519.707289,1782400519.708104,1782400519.708434,1782400519.708704,1782400519.708941,1782400519.73606,1782400519.399385
13,51,1782400525.8154118,-0.39972606705489017,15.132935673779576,1.1006969781283142,0.0003174269379740831,15.834224011790937,164.88511657714847,164.8847244004072,1782400525.728414,1782400525.728757,1782400525.729023,1782400525.729511,1782400525.729868,1782400525.801084,1782400525.436001
14,56,1782400527.9937108,-0.39977695541517094,14.978300600950282,1.1007245656896425,0.0004644369031316861,15.679712648127907,165.39357391357424,165.3931989766784,1782400527.97205,1782400527.972416,1782400527.972686,1782400527.97289,1782400527.973375,1782400527.970018,1782400527.627299
15,58,1782400528.8259478,-0.39960636442984704,15.110738981022125,1.1004691133914206,0.0003553301557614495,15.811957060139513,165.59697265625002,165.59658880718686,1782400528.792247,1782400528.792746,1782400528.793126,1782400528.793317,1782400528.793609,1782400528.816024,1782400528.475958
16,3,1782400505.9093974,-0.3998438081963672,14.862333233394283,1.1006248724468997,0.0005027110347028621,15.563617008679545,160.0038235473633,160.00336846820383,1782400505.880773,1782400505.880987,1782400505.881452,1782400505.88245,1782400505.882893,1782400505.903079,1782400505.754798
17,9,1782400508.1412723,-0.39977186925998537,15.049454540892624,1.1006906896776167,0.000336263101814572,15.750709624412051,160.6138821411133,160.61353795972926,1782400508.093037,1782400508.09332,1782400508.093489,1782400508.09368,1782400508.093975,1782400508.130061,1782400507.885052
18,15,1782400510.74594,-0.399856509435435,14.989395968307,1.1008151435088223,0.0005622940886732627,15.690916896469068,161.2240335083008,161.22370745125468,1782400510.7321,1782400510.732542,1782400510.732855,1782400510.733102,1782400510.733665,1782400510.741054,1782400510.449016
19,19,1782400512.2204041,-0.3997955157858632,15.05431779427156,57.63996209415769,0.00040912159209548704,72.2948934942356,161.63090820312502,161.63048711227162,1782400512.168576,1782400512.169378,1782400512.170566,1782400512.172006,1782400512.172155,1782400512.211067,1782400511.918172
